chrom	gene	strand	startUpBSE	endDownBSE	coverage
chr1	SDF4	-	1159348	1158624	10
chr1	UBE2J2	-	1192690	1192372	4
chr1	SSU72	-	1500296	1496712	2
chr1	GNB1	-	1749314	1724684	4
chr1	GNB1	-	1747301	1735858	3
chr1	GNB1	-	1749314	1735858	28
chr1	GNB1	-	1756938	1735858	7
chr1	GNB1	-	1756938	1737914	3
chr1	GNB1	-	1756938	1747195	24
chr1	GNB1	-	1770677	1747195	21
chr1	GNB1	-	1770677	1756836	4
chr1	NPHP4	-	6022009	6007164	3
chr1	NPHP4	-	6029319	6021854	2
chr1	ACOT7	-	6393628	6378552	3
chr1	CAMTA1	+	6867043	6885270	15
chr1	CAMTA1	+	6867043	6948959	2
chr1	CAMTA1	+	6880241	6948959	9
chr1	VAMP3	+	7837220	7838229	33
chr1	PARK7	+	8037712	8045195	3
chr1	RERE	-	8617582	8482787	7
chr1	RERE	-	8674745	8482787	2
chr1	RERE	-	8601377	8525985	17
chr1	RERE	-	8617582	8525985	32
chr1	RERE	-	8674745	8525985	59
chr1	RERE	-	8568734	8555123	15
chr1	RERE	-	8601377	8555123	31
chr1	RERE	-	8617582	8555123	163
chr1	RERE	-	8617596	8555123	2
chr1	RERE	-	8674745	8555123	156
chr1	RERE	-	8684439	8555123	2
chr1	RERE	-	8617582	8568686	141
chr1	RERE	-	8674745	8568686	23
chr1	RERE	-	8617582	8583112	4
chr1	RERE	-	8617582	8601273	521
chr1	RERE	-	8617596	8601273	14
chr1	RERE	-	8674745	8601273	306
chr1	RERE	-	8684439	8601273	25
chr1	RERE	-	8716500	8601273	3
chr1	RERE	-	8674745	8616534	19
chr1	RERE	-	8684439	8616534	9
chr1	RERE	-	8684439	8672105	6
chr1	RERE	-	8684439	8674620	10
chr1	RERE	-	8716500	8674620	14
chr1	RERE	-	8716500	8684369	4
chr1	RERE	-	8716500	8716032	44
chr1	RERE	-	8852647	8850665	2
chr1	ENO1	-	8927309	8926338	2
chr1	CLSTN1	-	9815367	9809519	6
chr1	CTNNBIP1	-	9938047	9931245	4
chr1	LZIC	-	9994918	9991949	46
chr1	LZIC	-	9995685	9991949	20
chr1	NMNAT1	+	10032076	10041228	5
chr1	UBE4B	+	10155519	10165802	11
chr1	UBE4B	+	10192427	10197263	2
chr1	UBE4B	+	10195046	10197263	2
chr1	UBE4B	+	10204998	10211619	2
chr1	UBE4B	+	10204998	10218540	3
chr1	UBE4B	+	10204998	10221344	2
chr1	UBE4B	+	10209242	10211619	5
chr1	UBE4B	+	10209242	10221344	6
chr1	KIF1B	+	10292308	10338186	2
chr1	KIF1B	+	10316305	10322028	2
chr1	KIF1B	+	10316305	10328321	5
chr1	KIF1B	+	10321963	10328321	2
chr1	KIF1B	+	10321963	10332364	6
chr1	KIF1B	+	10321963	10342591	3
chr1	KIF1B	+	10327438	10328321	4
chr1	KIF1B	+	10331560	10335561	5
chr1	KIF1B	+	10331560	10338186	2
chr1	KIF1B	+	10335486	10338186	3
chr1	KIF1B	+	10335486	10342591	6
chr1	KIF1B	+	10335486	10357304	3
chr1	KIF1B	+	10336379	10351219	5
chr1	KIF1B	+	10342380	10351219	3
chr1	KIF1B	+	10351140	10357304	4
chr1	KIF1B	+	10352105	10357304	4
chr1	KIF1B	+	10380101	10436734	2
chr1	KIF1B	+	10402108	10406011	5
chr1	KIF1B	+	10402108	10408791	3
chr1	KIF1B	+	10405903	10408791	3
chr1	KIF1B	+	10407819	10412794	3
chr1	KIF1B	+	10423341	10425706	11
chr1	KIF1B	+	10423341	10431320	3
chr1	KIF1B	+	10425158	10425706	5
chr1	APITD1	+	10493899	10502498	2
chr1	APITD1	+	10500404	10502498	5
chr1	TARDBP	+	11076901	11078930	3
chr1	EXOSC10	-	11137005	11130957	8
chr1	EXOSC10	-	11134383	11133991	3
chr1	EXOSC10	-	11137005	11133991	3
chr1	EXOSC10	-	11137708	11133991	3
chr1	EXOSC10	-	11151654	11150611	4
chr1	MTOR	-	11182183	11181303	4
chr1	MTOR	-	11193254	11184555	8
chr1	MTOR	-	11308151	11307682	4
chr1	PTCHD2	+	11561047	11562954	4
chr1	PLOD1	+	12008033	12010577	2
chr1	MFN2	+	12061458	12062160	21
chr1	VPS13D	+	12313779	12318160	2
chr1	VPS13D	+	12335882	12338095	8
chr1	VPS13D	+	12359259	12368698	8
chr1	VPS13D	+	12359259	12383837	4
chr1	VPS13D	+	12382593	12393423	2
chr1	PRDM2	+	14042036	14068652	12
