chrom	gene	strand	startUpBSE	endDownBSE	coverage
chr15	AAGAB	-	67529158	67524152	6
chr16	AARS	-	70296427	70292883	2
chr7	AASS	-	121773795	121753172	23
chr17	AATF	+	35310186	35311207	5
chr7	ABCA13	+	48258951	48288948	2
chr2	ABCB6	-	220079804	220077109	2
chr13	ABCC4	-	95840796	95768176	3
chr13	ABCC4	-	95822882	95813443	3
chr13	ABCC4	-	95840796	95813443	5
chr1	ABCD3	+	94924163	94946162	2
chr1	ABCD3	+	94924163	94948795	2
chr1	ABCD3	+	94924163	94956803	5
chr4	ABCG2	-	89036210	89028336	3
chr9	ABHD17B	-	74489999	74477467	4
chr9	ABHD17B	-	74489999	74481715	3
chr18	ABHD3	-	19239304	19236822	3
chr18	ABHD3	-	19244191	19236822	2
chr18	ABHD3	-	19263926	19236822	2
chr10	ABI1	-	27059274	27047991	2
chr2	ABI2	+	204231600	204267457	2
chr2	ABI2	+	204231600	204291992	2
chr2	ABI2	+	204244931	204267457	2
chr2	ABI2	+	204267299	204291992	7
chr10	ABLIM1	-	116251637	116247717	5
chr16	AC004158.2	-	72383105	72318471	2
chr7	AC005154.6	-	30601744	30590252	7
chr2	AC019221.4	+	234296903	234299129	3
chr7	AC068533.7	+	65592691	65599361	3
chr2	AC074391.1	+	65727763	65728281	2
chr17	ACACA	-	35609962	35604935	3
chr17	ACACA	-	35609982	35604935	2
chr17	ACACA	-	35646430	35640168	2
chr1	ACADM	+	76198329	76200556	2
chr3	ACAP2	-	195066046	195006525	2
chr3	ACAP2	-	195041542	195027240	2
chr3	ACAP2	-	195112876	195101738	3
chr3	ACAP2	-	195133645	195101738	4
chr3	ACAP2	-	195133645	195131436	3
chr1	ACBD6	-	180399397	180366651	5
chr2	ACSL3	+	223752548	223773868	3
chr2	ACSL3	+	223765392	223773868	3
chr2	ACSL3	+	223765392	223799405	2
chr2	ACSL3	+	223773451	223783920	2
chr2	ACSL3	+	223773451	223799405	2
chr2	ACTR2	+	65466986	65482828	2
chr2	ACTR2	+	65473658	65492309	4
chr2	ACTR3	+	114697536	114699936	2
chr7	ACTR3B	+	152480272	152522207	5
chr7	ACTR3B	+	152497703	152522207	2
chr2	ACVR1	-	158675071	158655939	2
chr2	ACVR2A	+	148653870	148657136	6
chr2	ACVR2A	+	148653870	148657467	45
chr2	ADAM17	-	9668083	9650108	2
chr7	ADAM22	+	87593949	87607727	5
chr16	ADAMTS18	-	77401620	77387630	3
chr5	ADAMTS6	-	64769779	64747302	6
chr15	ADAMTS7	-	79083565	79079035	2
chr21	ADARB1	+	46548317	46554747	3
chr10	ADD3	+	111860383	111884032	2
chr10	ADK	+	76285014	76360251	2
chr15	ADPGK	-	73067438	73052748	2
chr15	ADPGK	-	73072663	73052748	2
chr22	ADRBK2	+	26057543	26070495	2
