chrom	gene	strand	startUpBSE	endDownBSE	coverage
chr1	SDF4	-	1159348	1158624	5
chr1	CDK11A	-	1653150	1647785	2
chr1	GNB1	-	1749314	1735858	3
chr1	GNB1	-	1770677	1737914	2
chr1	GNB1	-	1770677	1747195	9
chr1	GNB1	-	1770677	1756836	4
chr1	NPHP4	-	6022009	6007164	4
chr1	NPHP4	-	6046387	6021854	4
chr1	CAMTA1	+	6867043	6885270	4
chr1	VAMP3	+	7837220	7838229	4
chr1	RERE	-	8674745	8525985	11
chr1	RERE	-	8568734	8555123	2
chr1	RERE	-	8601377	8555123	4
chr1	RERE	-	8617582	8555123	14
chr1	RERE	-	8674745	8555123	23
chr1	RERE	-	8617582	8568686	14
chr1	RERE	-	8674745	8568686	3
chr1	RERE	-	8716500	8568686	2
chr1	RERE	-	8617582	8601273	30
chr1	RERE	-	8674745	8601273	45
chr1	RERE	-	8674745	8616534	2
chr1	RERE	-	8684439	8616534	3
chr1	RERE	-	8716500	8616534	2
chr1	RERE	-	8684439	8674620	4
chr1	RERE	-	8716500	8674620	4
chr1	RERE	-	8716500	8684369	3
chr1	RERE	-	8716500	8716032	31
chr1	RERE	-	8852647	8850665	2
chr1	LZIC	-	9994918	9991949	6
chr1	LZIC	-	9995685	9991949	5
chr1	NMNAT1	+	10032076	10041228	5
chr1	UBE4B	+	10155519	10165802	5
chr1	UBE4B	+	10204998	10211619	2
chr1	UBE4B	+	10209242	10211619	3
chr1	KIF1B	+	10327438	10328321	5
chr1	KIF1B	+	10331560	10338186	2
chr1	KIF1B	+	10335486	10342591	3
chr1	KIF1B	+	10351140	10357304	2
chr1	KIF1B	+	10380101	10436734	2
chr1	KIF1B	+	10423341	10425706	3
chr1	KIF1B	+	10425158	10425706	2
chr1	KIF1B	+	10431199	10435431	2
chr1	EXOSC10	-	11137005	11130957	3
chr1	MTOR	-	11193254	11184555	2
chr1	PTCHD2	+	11561047	11562954	3
chr1	DRAXIN	+	11771908	11775265	3
chr1	MFN2	+	12061458	12062160	2
chr1	VPS13D	+	12335882	12338095	8
chr1	VPS13D	+	12359259	12368698	4
chr1	VPS13D	+	12359259	12382803	2
chr1	VPS13D	+	12359259	12393423	2
chr1	DHRS3	-	12639440	12638746	4
chr1	PDPN	+	13933668	13940906	2
chr1	PRDM2	+	14042036	14068652	9
chr1	PRDM2	+	14042036	14075982	2
chr1	PRDM2	+	14057495	14068652	6
chr1	PRDM2	+	14057495	14075982	6
chr1	PRDM2	+	14095613	14109326	2
chr1	PRDM2	+	14099573	14109326	10
chr1	PRDM2	+	14104913	14109326	3
chr1	SPEN	+	16199311	16203173	10
chr1	SPEN	+	16235816	16242774	2
chr1	FBXO42	-	16643066	16582206	2
chr1	FBXO42	-	16643063	16621278	2
chr1	FBXO42	-	16643066	16621278	3
chr1	FBXO42	-	16641930	16632298	3
chr1	NBPF1	-	16893846	16891302	29
chr1	ARHGEF10L	+	17907048	17914974	3
chr1	UBR4	-	19523759	19519927	3
chr1	HP1BP3	-	21100103	21071237	2
chr1	HP1BP3	-	21100103	21076216	11
chr1	HP1BP3	-	21100103	21083659	20
chr1	HP1BP3	-	21103243	21083659	9
chr1	HP1BP3	-	21107033	21083659	4
chr1	HP1BP3	-	21100103	21091870	3
chr1	HP1BP3	-	21100103	21097423	21
chr1	HP1BP3	-	21107033	21097423	2
chr1	EIF4G3	-	21191755	21167349	4
chr1	EIF4G3	-	21212864	21167349	2
chr1	EIF4G3	-	21268823	21220010	4
chr1	EIF4G3	-	21268823	21231376	7
chr1	EIF4G3	-	21268823	21267984	3
chr1	EIF4G3	-	21276601	21267984	2
chr1	EIF4G3	-	21307720	21267984	5
chr1	EIF4G3	-	21437876	21267984	4
chr1	EIF4G3	-	21307720	21295967	28
chr1	EIF4G3	-	21329301	21295967	10
chr1	EIF4G3	-	21437876	21295967	2
chr1	EIF4G3	-	21307720	21306827	2
chr1	EIF4G3	-	21329301	21306827	3
chr1	EIF4G3	-	21329301	21324094	2
chr1	EIF4G3	-	21377487	21324094	2
chr1	EIF4G3	-	21437876	21324094	10
