chrom	gene	strand	startUpBSE	endDownBSE	coverage
chr1	NOC2L	-	892653	891303	3
chr1	SLC35E2B	-	1601590	1601103	3
chr1	SLC35E2	-	1671143	1666129	3
chr1	GNB1	-	1749314	1724684	4
chr1	GNB1	-	1749314	1735858	36
chr1	GNB1	-	1756938	1735858	17
chr1	GNB1	-	1770677	1735858	7
chr1	GNB1	-	1756938	1737914	4
chr1	GNB1	-	1756938	1747195	18
chr1	GNB1	-	1770677	1747195	15
chr1	GNB1	-	1770677	1756836	4
chr1	PRKCZ	+	2066701	2082417	2
chr1	NPHP4	-	6022009	6007164	7
chr1	NPHP4	-	6046387	6012760	3
chr1	NPHP4	-	6046387	6021854	4
chr1	ICMT	-	6293703	6291962	2
chr1	DNAJC11	-	6741097	6727769	2
chr1	CAMTA1	+	6867043	6885270	5
chr1	CAMTA1	+	6880241	6948959	4
chr1	VAMP3	+	7837220	7838229	25
chr1	PARK7	+	8037712	8045195	6
chr1	RERE	-	8601377	8482787	3
chr1	RERE	-	8617582	8482787	5
chr1	RERE	-	8568734	8525985	6
chr1	RERE	-	8601377	8525985	8
chr1	RERE	-	8617582	8525985	46
chr1	RERE	-	8674745	8525985	69
chr1	RERE	-	8568734	8555123	13
chr1	RERE	-	8601377	8555123	33
chr1	RERE	-	8617582	8555123	258
chr1	RERE	-	8617596	8555123	3
chr1	RERE	-	8674745	8555123	181
chr1	RERE	-	8684439	8555123	4
chr1	RERE	-	8617582	8568686	127
chr1	RERE	-	8674745	8568686	26
chr1	RERE	-	8684439	8568686	5
chr1	RERE	-	8617582	8601273	531
chr1	RERE	-	8617596	8601273	10
chr1	RERE	-	8674745	8601273	472
chr1	RERE	-	8684439	8601273	18
chr1	RERE	-	8716500	8601273	2
chr1	RERE	-	8674745	8616534	10
chr1	RERE	-	8684439	8616534	12
chr1	RERE	-	8684439	8674620	17
chr1	RERE	-	8716500	8674620	27
chr1	RERE	-	8716500	8684369	11
chr1	RERE	-	8716500	8716032	72
chr1	CLSTN1	-	9815367	9809519	4
chr1	CTNNBIP1	-	9938047	9931245	7
chr1	LZIC	-	9994918	9991949	38
chr1	LZIC	-	9995685	9991949	17
chr1	LZIC	-	9996685	9995550	4
chr1	NMNAT1	+	10032076	10041228	9
chr1	UBE4B	+	10155519	10165802	19
chr1	UBE4B	+	10155519	10179671	4
chr1	UBE4B	+	10177517	10197263	3
chr1	UBE4B	+	10186852	10195244	2
chr1	UBE4B	+	10195046	10197263	10
chr1	UBE4B	+	10204998	10211619	7
chr1	UBE4B	+	10204998	10221344	3
chr1	UBE4B	+	10207021	10221344	2
chr1	UBE4B	+	10209242	10221344	11
chr1	KIF1B	+	10292308	10338186	3
chr1	KIF1B	+	10292308	10342591	2
chr1	KIF1B	+	10318551	10328321	5
chr1	KIF1B	+	10318551	10336457	2
chr1	KIF1B	+	10321963	10328321	2
chr1	KIF1B	+	10327438	10328321	2
chr1	KIF1B	+	10327438	10333089	2
chr1	KIF1B	+	10327438	10342591	4
chr1	KIF1B	+	10331560	10336457	8
chr1	KIF1B	+	10335486	10342591	8
chr1	KIF1B	+	10342380	10351219	4
