chrom	gene	strand	startUpBSE	endDownBSE	coverage
chr1	SDF4	-	1159348	1158624	3
chr1	UBE2J2	-	1192690	1192372	2
chr1	SSU72	-	1500296	1496712	4
chr1	GNB1	-	1770677	1747195	3
chr1	GNB1	-	1770677	1756836	3
chr1	NPHP4	-	6022009	6007164	2
chr1	DNAJC11	-	6706038	6704618	2
chr1	VAMP3	+	7837220	7838229	6
chr1	RERE	-	8674745	8525985	2
chr1	RERE	-	8601377	8555123	2
chr1	RERE	-	8617582	8555123	5
chr1	RERE	-	8674745	8555123	3
chr1	RERE	-	8617582	8601273	12
chr1	RERE	-	8674745	8601273	22
chr1	RERE	-	8716500	8674620	4
chr1	RERE	-	8716500	8716032	18
chr1	LZIC	-	9994918	9991949	7
chr1	LZIC	-	9995685	9991949	2
chr1	LZIC	-	9996685	9991949	3
chr1	NMNAT1	+	10032076	10041228	3
chr1	UBE4B	+	10155519	10165802	6
chr1	UBE4B	+	10179571	10195244	3
chr1	UBE4B	+	10195046	10197263	2
chr1	KIF1B	+	10316305	10328321	2
chr1	KIF1B	+	10327438	10328321	2
chr1	KIF1B	+	10335486	10342591	2
chr1	KIF1B	+	10380101	10384953	3
chr1	KIF1B	+	10380101	10436734	4
chr1	PGD	+	10463128	10473308	2
chr1	TARDBP	+	11076901	11078930	2
chr1	EXOSC10	-	11137005	11130957	3
chr1	EXOSC10	-	11137005	11133991	3
chr1	MFN2	+	12061458	12062160	2
chr1	VPS13D	+	12335882	12338095	2
chr1	VPS13D	+	12359259	12368698	2
chr1	DHRS3	-	12639440	12638746	2
chr1	PRDM2	+	14057495	14068652	5
chr1	PRDM2	+	14057495	14075982	2
chr1	PRDM2	+	14099573	14109326	8
chr1	PRDM2	+	14104913	14109326	3
chr1	SPEN	+	16199311	16203173	7
chr1	FBXO42	-	16641930	16632298	3
chr1	NBPF1	-	16893846	16891302	27
chr1	NBPF1	-	16914292	16902762	5
chr1	ARHGEF10L	+	17907048	17914974	3
chr1	OTUD3	+	20216878	20231480	2
chr1	HP1BP3	-	21107033	21071237	3
chr1	HP1BP3	-	21100103	21083659	16
chr1	HP1BP3	-	21103243	21083659	4
chr1	HP1BP3	-	21106404	21083659	5
chr1	HP1BP3	-	21107033	21083659	6
chr1	HP1BP3	-	21103243	21091870	5
chr1	HP1BP3	-	21100103	21097423	6
chr1	HP1BP3	-	21107033	21097423	2
chr1	HP1BP3	-	21102498	21102217	3
chr1	EIF4G3	-	21231464	21220010	4
chr1	EIF4G3	-	21268823	21220010	3
chr1	EIF4G3	-	21268823	21267984	3
chr1	EIF4G3	-	21307720	21295967	13
chr1	EIF4G3	-	21329301	21295967	10
chr1	EIF4G3	-	21329301	21306827	4
chr1	EIF4G3	-	21437876	21329206	3
chr1	EIF4G3	-	21437876	21377359	4
chr1	USP48	-	22050588	22041882	2
chr1	USP48	-	22084276	22073560	3
chr1	HSPG2	-	22175524	22173847	2
chr1	ZBTB40	+	22816373	22818026	5
chr1	KDM1A	+	23356962	23377013	16
chr1	KDM1A	+	23356962	23385660	2
chr1	KDM1A	+	23381562	23395644	3
chr1	TCEB3	+	24075511	24080950	2
chr1	SYF2	-	25554726	25551493	2
chr1	CEP85	+	26584088	26586293	5
chr1	CEP85	+	26594974	26596105	4
chr1	DHDDS	-	26789924	26771302	2
chr1	DHDDS	+	26772807	26786635	3
chr1	ARID1A	+	27056142	27059283	11
chr1	NUDC	+	27267948	27268309	2
chr1	NUDC	+	27269151	27269556	10
chr1	PPP1R8	+	28165210	28169841	3
chr1	EYA3	-	28384605	28362055	3
chr1	YTHDF2	+	29068915	29070498	14
chr1	EPB41	+	29313943	29314417	4
chr1	EPB41	+	29313943	29323831	9
chr1	EPB41	+	29442211	29444501	3
chr1	SRSF4	-	29481422	29474592	2
chr1	SRSF4	-	29481422	29481208	2
chr1	PUM1	-	31440157	31422980	2
chr1	PUM1	-	31468067	31465237	19
chr1	PUM1	-	31479946	31465237	3
chr1	PUM1	-	31479949	31465237	14
chr1	PUM1	-	31479949	31478700	3
chr1	PUM1	-	31532424	31532051	3
chr1	ZCCHC17	+	31810022	31821821	4
chr1	PTP4A2	-	32385259	32381496	21
chr1	PTP4A2	-	32385259	32384571	3
chr1	KHDRBS1	+	32495899	32498935	4
chr1	KHDRBS1	+	32495899	32510991	3
chr1	KHDRBS1	+	32502511	32504220	3
chr1	KPNA6	+	32628836	32632897	2
chr1	HDAC1	+	32790080	32793278	2
chr1	HDAC1	+	32792540	32793278	2
chr1	RP1-27O5.3	+	33058532	33059355	5
chr1	ZBTB8OS	-	33100393	33097428	3
chr1	RBBP4	+	33133826	33138502	2
chr1	YARS	-	33246746	33244983	5
chr1	S100PBP	+	33290914	33295668	5
chr1	S100PBP	+	33290914	33299662	5
chr1	RNF19B	-	33415375	33413823	16
chr1	ZMYM4	+	35824526	35827390	37
chr1	ZMYM4	+	35846860	35847359	3
chr1	ZMYM4	+	35846860	35854683	8
chr1	ZMYM4	+	35846860	35855699	6
chr1	ZMYM4	+	35851043	35855699	2
chr1	ZMYM4	+	35854511	35855699	3
chr1	KIAA0319L	-	35944813	35936464	6
chr1	KIAA0319L	-	35944813	35940406	2
chr1	CLSPN	-	36212593	36204737	3
chr1	AGO1	+	36379443	36381143	2
chr1	AGO3	+	36469942	36479649	3
chr1	GNL2	-	38054683	38052912	2
chr1	INPP5B	-	38339760	38332131	3
chr1	MACF1	+	39816457	39824936	8
chr1	MACF1	+	39833820	39847824	2
chr1	TRIT1	-	40323089	40306807	2
chr1	TRIT1	-	40323089	40319642	5
chr1	RLF	+	40654727	40668286	6
chr1	SCMH1	-	41541123	41512079	3
chr1	SCMH1	-	41541123	41536267	32
chr1	SCMH1	-	41582682	41578955	6
chr1	FOXJ3	-	42744343	42730786	7
chr1	FOXJ3	-	42744455	42730786	5
chr1	FOXJ3	-	42789498	42730786	4
chr1	C1orf50	+	43239234	43241150	3
chr1	ST3GAL3	+	44386076	44386600	2
chr1	SLC6A9	-	44468657	44467985	2
chr1	ERI3	-	44804994	44773982	3
chr1	ERI3	-	44804994	44804717	2
chr1	KIF2C	+	45223228	45223812	3
chr1	KIF2C	+	45223228	45225020	2
chr1	ZSWIM5	-	45553909	45553553	2
chr1	NASP	+	46079768	46082065	7
chr1	GPBP1L1	-	46106075	46093932	2
chr1	GPBP1L1	-	46108171	46105882	4
chr1	GPBP1L1	-	46126897	46124700	2
chr1	PIK3R3	-	46546422	46521467	19
chr1	PIK3R3	-	46546422	46527601	5
chr1	PIK3R3	-	46546422	46531726	4
chr1	STIL	-	47770668	47737748	2
chr1	STIL	-	47748131	47745913	10
chr1	STIL	-	47765824	47753223	2
chr1	STIL	-	47767420	47761437	4
chr1	CMPK1	+	47834141	47840965	4
chr1	SPATA6	-	48869554	48850981	2
chr1	EPS15	-	51874004	51868107	6
chr1	NRD1	-	52299842	52293468	2
chr1	NRD1	-	52321060	52299689	3
chr1	NRD1	-	52321060	52301803	2
chr1	ZFYVE9	+	52698843	52705267	2
chr1	ZCCHC11	-	52912339	52902427	2
chr1	ZCCHC11	-	52927441	52903892	2
chr1	ZCCHC11	-	52962855	52959283	2
chr1	ZCCHC11	-	52975384	52959283	8
chr1	ZCCHC11	-	52992045	52975268	5
chr1	ZCCHC11	-	52992045	52981563	5
chr1	NDC1	-	54298264	54266366	3
chr1	OMA1	-	59002413	58971732	7
chr1	OMA1	-	59002413	58992933	2
chr1	FGGY	+	59787208	59812070	6
chr1	FGGY	+	59787208	59844509	4
chr1	FGGY	+	59805630	59844509	5
chr1	USP1	+	62905470	62907970	2
chr1	USP1	+	62907159	62908990	4
chr1	USP1	+	62910409	62913182	2
chr1	DOCK7	-	63052295	63042933	2
chr1	ATG4C	+	63269390	63286880	3
chr1	ROR1	+	64515363	64516388	3
chr1	CACHD1	+	65095038	65107652	4
chr1	CACHD1	+	65131740	65141666	4
chr1	RAVER2	+	65243306	65280523	3
chr1	PDE4B	+	66378928	66384518	2
chr1	WDR78	-	67371058	67356837	7
chr1	MIER1	+	67405711	67428843	3
chr1	MIER1	+	67423742	67428843	11
chr1	WLS	-	68652332	68603463	2
chr1	ANKRD13C	-	70781249	70758071	10
chr1	ANKRD13C	-	70781249	70761813	3
chr1	ACADM	+	76198329	76216231	4
chr1	ACADM	+	76205665	76216231	4
chr1	ACADM	+	76211491	76216231	3
chr1	PIGK	-	77635080	77620134	3
chr1	ZZZ3	-	78045313	78041753	2
chr1	ZZZ3	-	78050340	78041753	3
chr1	ZZZ3	-	78107340	78097520	3
chr1	ZZZ3	-	78107340	78097535	7
chr1	ZZZ3	-	78107340	78098800	2
chr1	USP33	-	78181553	78177432	4
chr1	USP33	-	78191447	78183552	8
chr1	FAM73A	+	78267016	78280916	8
chr1	LPHN2	+	82302570	82327803	3
chr1	LPHN2	+	82302570	82372915	31
chr1	LPHN2	+	82302690	82456131	3
chr1	LPHN2	+	82356141	82372915	2
chr1	LPHN2	+	82372702	82409453	2
chr1	LPHN2	+	82372702	82421744	2
chr1	LPHN2	+	82402412	82421744	2
chr1	LPHN2	+	82408653	82409453	2
chr1	LPHN2	+	82431742	82456131	2
chr1	TTLL7	-	84412965	84376848	7
chr1	PRKACB	+	84644860	84650865	2
chr1	PRKACB	+	84644860	84680000	3
chr1	SYDE2	-	85656435	85647781	2
chr1	SYDE2	-	85656435	85655740	2
chr1	DDAH1	-	85824530	85816098	3
chr1	COL24A1	-	86611866	86590528	6
chr1	ODF2L	-	86851273	86818542	2
chr1	PKN2	+	89229262	89231523	2
chr1	PKN2	+	89236035	89237562	2
chr1	PKN2	+	89236035	89251896	5
chr1	ZNF644	-	91406866	91403042	5
chr1	ZNF644	-	91447927	91403042	7
chr1	HFM1	-	91818856	91808987	4
chr1	HFM1	-	91851391	91808987	2
chr1	RPAP2	+	92786240	92789932	2
